City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
208,nadym,65.5333,72.5167,-4.43,93,82,17.74,RU,1710276856
209,port shepstone,-30.7414,30.455,77.92,84,100,18.9,ZA,1710276857
210,labrador city,52.9463,-66.9114,29.17,66,100,17.27,CA,1710276610
211,sai buri,6.7013,101.6168,73.96,82,76,4.16,TH,1710276857
212,salekhard,66.53,66.6019,8.76,85,100,21.47,RU,1710276858
213,saint-pierre,-21.3393,55.4781,78.48,69,13,12.66,RE,1710276685
214,gantang,26.92,119.6333,49.82,87,74,1.74,CN,1710276858
215,callao,-12.0667,-77.15,79.09,61,0,10.36,PE,1710276858
216,hinton,53.4001,-117.5857,41.88,67,14,4.34,CA,1710276859
217,tsiombe,-25.3,45.4833,79.88,70,100,6.15,MG,1710276859
218,balotra,25.8333,72.2333,72.97,36,0,6.51,IN,1710276859
219,luanda,-8.8368,13.2343,84.2,84,40,10.36,AO,1710276593
220,galliano,29.4422,-90.2992,75.99,52,40,6.91,US,1710276860
221,totness,5.8833,-56.3167,82.98,75,44,12.86,SR,1710276860
222,ghat,24.9647,10.1728,70.77,18,15,4.54,LY,1710276860
223,umm as sahik,26.6536,49.9164,64.54,45,70,9.73,SA,1710276860
224,myslakowice,50.8412,15.7789,48.0,99,99,5.46,PL,1710276861
225,trairi,-3.2778,-39.2689,80.94,81,61,6.02,BR,1710276861
226,kerema,-7.9631,145.7785,78.85,81,100,3.62,PG,1710276861
227,puerto baquerizo moreno,-0.9,-89.6,77.99,100,100,13.8,EC,1710276765
228,minas de marcona,-15.2119,-75.1103,71.8,65,46,16.31,PE,1710276700
229,bandon,51.7469,-8.7425,51.39,95,100,20.74,IE,1710276862
230,hami,42.8,93.45,45.23,31,0,4.59,CN,1710276862
231,kale,50.9581,1.8521,52.0,95,100,21.07,FR,1710276862
232,carnarvon,-24.8667,113.6333,77.7,81,86,13.76,AU,1710276682
233,caleta de carquin,-11.0925,-77.6267,76.26,79,80,9.4,PE,1710276708
234,marianna,30.7744,-85.2269,73.49,25,0,0.0,US,1710276745
235,okhotsk,59.3833,143.3,-7.69,88,54,9.13,RU,1710276863
236,remire-montjoly,4.9167,-52.2667,86.04,74,40,16.11,GF,1710276713
237,marsh harbour,26.5412,-77.0636,69.98,59,1,9.28,BS,1710276864
238,rawah,34.4816,41.9093,60.33,31,21,6.35,IQ,1710276864
239,nong bua lamphu,17.2041,102.4407,79.21,61,31,1.28,TH,1710276864
240,nikolayevsk-on-amure,53.1406,140.73,-4.92,100,94,1.12,RU,1710276865
241,tual,-5.6667,132.75,83.79,79,100,20.67,ID,1710276865
242,al khums,32.6486,14.2619,59.36,64,0,12.06,LY,1710276865
243,vila franca do campo,37.7167,-25.4333,61.21,90,61,7.78,PT,1710276865
244,plettenberg bay,-34.0527,23.3716,66.52,81,90,5.55,ZA,1710276866
245,miami,25.7743,-80.1937,82.0,60,40,11.5,US,1710276773
246,weno,7.4515,151.8468,82.35,74,100,8.05,FM,1710276580
247,cockburn town,21.4612,-71.1419,76.3,77,56,15.41,TC,1710276866
248,andratx,39.5755,2.4202,52.5,63,0,1.63,ES,1710276867
249,antsiranana,-12.2787,49.2917,79.02,86,13,13.49,MG,1710276719
250,chingirlau,51.095,54.0814,13.53,98,90,5.53,KZ,1710276867
251,bengkulu,-3.8004,102.2655,75.15,94,100,5.06,ID,1710276867
252,nadvoitsy,63.8667,34.3167,23.36,93,86,8.05,RU,1710276868
253,harper,4.375,-7.7169,82.24,85,87,6.2,LR,1710276868
254,nouadhibou,20.931,-17.0347,67.98,77,0,16.11,MR,1710276694
255,miches,18.9836,-69.0476,89.8,62,0,10.58,DO,1710276868
256,vorkuta,67.5,64.0,10.45,93,100,26.98,RU,1710276869
257,tahe,52.3333,124.7333,16.2,98,100,1.9,CN,1710276869
258,fort bragg,35.139,-79.006,75.04,20,0,9.22,US,1710276869
259,saint-joseph,-21.3667,55.6167,77.38,78,21,12.73,RE,1710276870
260,colonia,50.9333,6.95,47.86,87,75,9.22,DE,1710276870
261,junin de los andes,-39.9504,-71.0694,59.74,42,8,15.37,AR,1710276870
262,karratha,-20.7377,116.8463,79.88,70,61,6.31,AU,1710276657
263,qamdo,31.1667,97.2333,25.39,56,99,2.64,CN,1710276759
264,fort st. john,56.2499,-120.8529,28.29,74,75,8.05,CA,1710276792
265,yanda bayo,11.5071,10.7459,87.8,11,35,13.4,NG,1710276871
266,patong,7.8961,98.2966,77.14,74,46,4.97,TH,1710276871
267,flying fish cove,-10.4217,105.6791,78.48,88,75,11.5,CX,1710276872
268,horta,38.5333,-28.6333,61.02,88,40,14.97,PT,1710276872
269,udachny,66.4167,112.4,-30.1,100,80,2.86,RU,1710276872
270,pacasmayo,-7.4006,-79.5714,77.61,72,98,13.56,PE,1710276872
271,cradock,-32.1642,25.6192,62.85,86,17,7.49,ZA,1710276873
272,kristiansund,63.1115,7.732,38.05,60,0,5.75,NO,1710276873
273,constantia,44.1833,28.65,45.7,98,100,12.01,RO,1710276762
274,belel,7.05,14.4333,75.24,15,40,4.72,CM,1710276874
275,licheng,23.2955,113.8284,60.22,73,58,3.18,CN,1710276874
276,quixada,-4.9714,-39.0153,78.3,87,78,4.09,BR,1710276874
277,tonghae,37.5439,129.1069,38.39,72,3,7.58,KR,1710276874
278,bosaso,11.2842,49.1816,79.88,73,17,3.51,SO,1710276780
279,waddan,29.1614,16.139,63.39,40,14,12.1,LY,1710276875
280,prince rupert,54.3161,-130.3201,46.49,71,75,32.21,CA,1710276875
281,mount pearl,47.5166,-52.7813,38.95,91,75,5.75,CA,1710276744
282,zaozersk,69.4005,32.4476,12.27,94,76,5.01,RU,1710276876
283,tazacorte,28.629,-17.9293,67.17,83,20,4.61,ES,1710276749
284,east london,-33.0153,27.9116,73.49,84,98,11.99,ZA,1710276683
285,arno,60.1167,18.6333,31.78,92,51,6.04,SE,1710276876
286,antofagasta,-23.65,-70.4,69.08,76,13,11.86,CL,1710276638
287,paphos,34.7667,32.4167,53.38,82,0,8.05,CY,1710276877
288,ouallam,14.3188,2.0866,97.05,22,92,12.33,NE,1710276877
289,yuzhno-kurilsk,44.0306,145.8556,31.37,65,100,19.98,RU,1710276668
290,severo-yeniseyskiy,60.3725,93.0408,-7.42,100,89,3.0,RU,1710276877
291,olyokminsk,60.3736,120.4264,-3.91,100,100,1.14,RU,1710276652
292,hotan,37.0997,79.9269,46.29,32,1,3.91,CN,1710276667
293,dergachi,51.2328,48.7659,20.23,95,13,8.05,RU,1710276878
294,cururupu,-1.8283,-44.8683,80.17,86,96,4.21,BR,1710276878
295,villa regina,-39.1,-67.0667,84.97,15,0,8.01,AR,1710276879
296,thunder bay,48.4001,-89.3168,51.71,43,20,8.05,CA,1710276455
297,sena madureira,-9.0656,-68.6569,85.89,72,100,2.13,BR,1710276724
298,holualoa,19.6228,-155.9522,77.77,75,40,6.91,US,1710276720
299,maintirano,-18.0667,44.0167,80.53,85,98,4.32,MG,1710276879
300,araguaina,-7.1911,-48.2072,80.37,86,92,4.76,BR,1710276880
301,kiama,-34.6833,150.8667,72.0,88,83,1.01,AU,1710276880
302,nuuk,64.1835,-51.7216,23.61,100,100,6.91,GL,1710276653
303,hola,51.5377,23.1902,39.38,96,100,7.83,PL,1710276880
304,south lake tahoe,38.9332,-119.9844,45.36,57,75,13.0,US,1710276867
305,petropavlovsk-kamchatsky,53.0452,158.6483,9.19,92,0,15.01,RU,1710276606
306,barentu,15.1139,37.5928,79.12,36,49,3.09,ER,1710276881
307,fale old settlement,-9.3852,-171.2468,85.46,73,48,12.3,TK,1710276683
308,val-d'or,48.1002,-77.7828,41.09,45,40,8.05,CA,1710276808
309,opuwo,-18.0607,13.84,73.24,61,57,10.89,NA,1710276657
310,leh,34.1667,77.5833,7.25,84,100,3.65,IN,1710276882
311,yangjiang,21.85,111.9667,62.64,78,89,7.16,CN,1710276882
312,la mira,18.035,-102.3266,87.4,45,66,13.24,MX,1710276883
313,lerwick,60.1545,-1.1494,44.6,93,100,22.73,GB,1710276883
314,quellon,-43.1167,-73.6167,59.2,66,92,9.53,CL,1710276666
315,lieksa,63.3167,30.0167,15.69,100,86,5.12,FI,1710276883
316,alvaraes,-3.2208,-64.8042,93.07,76,92,3.15,BR,1710276883
317,fuling,29.7022,107.3919,59.47,72,100,0.94,CN,1710276884
318,zhanaozen,43.3,52.8,29.26,67,0,5.97,KZ,1710276884
319,tolanaro,-25.0319,46.9987,80.67,89,40,16.11,MG,1710276598
320,carbonear,47.7332,-53.2148,40.23,88,91,4.16,CA,1710276837
321,conduaga,8.862,117.4893,75.63,88,59,7.81,PH,1710276885
322,as sulayyil,20.4607,45.5779,75.45,31,23,14.72,SA,1710276885
323,saltillo,25.4167,-101.0,76.42,31,75,5.01,MX,1710276885
324,brookings,44.3114,-96.7984,65.1,26,0,4.61,US,1710276736
325,xingcheng,40.6167,120.7167,39.51,43,100,6.62,CN,1710276885
326,sainte-marie,-20.8968,55.5496,78.96,65,0,16.11,RE,1710276886
327,labytnangi,66.6572,66.4183,10.38,82,100,21.05,RU,1710276886
328,coquimbo,-29.9533,-71.3436,73.13,60,0,14.97,CL,1710276474
329,sao gabriel da cachoeira,-0.1303,-67.0892,83.59,89,95,1.99,BR,1710276886
330,fernley,39.608,-119.2518,54.21,26,49,13.0,US,1710276887
331,shepparton,-36.3833,145.4,72.32,53,99,8.21,AU,1710276887
332,eureka,40.8021,-124.1637,56.93,81,100,15.01,US,1710276319
333,mulayjah,27.271,48.4242,62.44,26,68,5.48,SA,1710276887
334,iranshahr,27.2025,60.6848,68.34,34,0,4.61,IR,1710276887
335,karsun,54.1994,46.9827,21.49,97,91,4.14,RU,1710276888
336,el sauzal de rodriguez,31.9,-116.6833,63.41,62,88,14.43,MX,1710276888
337,porbandar,21.6422,69.6093,71.76,74,39,11.43,IN,1710276888
338,bereznik,62.8551,42.7072,27.46,93,100,7.76,RU,1710276888
339,pandharpur,17.6667,75.3333,82.87,28,4,14.94,IN,1710276889
340,dhidhdhoo,6.8833,73.1,81.9,76,33,4.68,MV,1710276889
341,pirallahi,40.4723,50.333,44.74,85,100,9.06,AZ,1710276889
342,kapuskasing,49.4169,-82.4331,50.09,37,75,4.61,CA,1710276664
343,langepas,61.2544,75.2124,-14.98,100,59,4.21,RU,1710276890
344,kuanda,56.3161,116.0806,9.91,94,86,1.66,RU,1710276890
345,kapit,2.0167,112.9333,75.09,99,100,0.6,MY,1710276890
346,balnearia,-31.0088,-62.6673,100.49,38,0,16.44,AR,1710276890
347,northam,51.0333,-4.2167,53.38,97,100,16.98,GB,1710276654
348,saki,8.6667,3.3833,85.24,59,98,9.37,NG,1710276891
349,azangaro,-14.9167,-70.2167,63.39,44,100,2.01,PE,1710276891
350,aral,40.5156,81.2636,47.08,27,6,6.26,CN,1710276891
351,freetown,8.484,-13.2299,83.91,74,75,16.11,SL,1710276891
352,dunedin,-45.8742,170.5036,54.81,54,2,15.01,NZ,1710276584
353,san antonio de pale,-1.4014,5.6325,84.22,79,100,7.67,GQ,1710276605
354,mao,39.8885,4.2658,55.96,82,20,6.91,ES,1710276892
355,shagonar,51.5333,92.8,11.77,96,94,2.1,RU,1710276892
356,kollo,13.3043,2.339,100.83,26,88,5.93,NE,1710276892
357,el calafate,-50.3408,-72.2768,54.01,51,7,15.57,AR,1710276893
358,richards bay,-28.783,32.0377,81.88,65,100,8.28,ZA,1710276680
359,onguday,50.75,86.15,31.35,94,100,3.4,RU,1710276759
360,ankazobe,-18.3167,47.1167,63.7,94,63,5.57,MG,1710276893
361,alo,7.4178,6.7371,87.28,65,100,7.14,NG,1710276730
362,saguenay,48.4168,-71.0657,31.08,76,100,13.8,CA,1710276662
363,diego de almagro,-26.3667,-70.05,83.23,23,0,11.39,CL,1710276894
364,magadan,59.5667,150.8,12.85,79,100,3.15,RU,1710276894
